feature,importance_mean,importance_std
NACCDIED,0.09850000000000005,0.0027499090894064103
NACCNVST,0.04595000000000003,0.0020534117950377026
INRELTO,0.011730000000000063,0.0012353542002195152
MARISTAT,0.006240000000000035,0.00123709336753538
BIRTHYR,0.006080000000000041,0.0006063002556489654
NACCAVST,0.005940000000000034,0.0016889049706836697
PACKET_T,0.0034300000000000554,0.0007874642849044038
EDUC,0.0033100000000000464,0.0009202716990106941
INBIRYR,0.0032500000000000528,0.00039812058474788706
NACCVNUM,0.0032400000000000428,0.0008639444426581962
AGE_AT_VISIT,0.003150000000000053,0.0006184658438426474
BMI,0.0028200000000000334,0.0006144916598294929
HEIGHT,0.0024100000000000566,0.0003726929030716944
SEX,0.0022900000000000476,0.0003672873534441401
VISITYR,0.0021000000000000463,0.0007641989269817121
AGE_AT_VISIT EDUC,0.0016600000000000614,0.0005043808085167453
BIRTHMO,0.0015700000000000603,0.0004313930922024594
WEIGHT,0.0012800000000000589,0.0008096912991998762
EDUC BMI,0.0011800000000000365,0.0004512205669071362
FORMVER,0.0011700000000000488,0.0004001249804748481
EDUC_LEVEL,0.0011100000000000333,0.0005664803615307493
RACE,0.0009400000000000408,0.0004820788317277712
INBIRMO,0.0009100000000000664,0.00040607881008494214
AGE_AT_VISIT BMI,0.0007400000000000406,0.0005642694391866236
INSEX,0.0006900000000000572,0.00035341194094143895
HEARAID,0.0006500000000000505,0.00027294688127912
BPSYS,0.0005900000000000572,0.0004526588119102553
HEARWAID,0.000490000000000057,0.00036180105030251094
HANDED,0.00026000000000007126,0.0001356465996625117
PACKET_I,0.00022000000000005349,0.0003249615361854491
VISION,0.0001800000000000468,0.00021354156504065053
HISPANIC,0.000170000000000059,0.0002325940669922732
VISCORR,0.0001000000000000445,0.00048579831205963476
HEARING,0.0001000000000000334,0.000282842712474631
HIGH_BP,7.000000000004781e-05,0.0002647640458974936
PACKET_IT,0.0,0.0
VISITMO,-8.999999999995679e-05,0.00029816103031751474
HRATE,-0.00010999999999996568,0.0003238826948140322
VISITDAY,-0.0002499999999999392,0.0003324154027718984
VISWCORR,-0.0003199999999999537,0.0003059411708155486
