feature,importance
NACCDIED,0.11342105876448179
NACCNVST,0.07770537492853541
NACCAVST,0.029769560212913278
INRELTO,0.026238047976784123
MARISTAT,0.01671834514695146
EDUC,0.015820533060333895
PACKET_T,0.014695216445189889
EDUC_LEVEL,0.013079143795622625
VISITYR,0.012546222934986962
BMI,0.011803905845094786
SEX,0.010328531658650818
BIRTHYR,0.009404385114871933
FORMVER,0.009397207619961708
AGE_AT_VISIT,0.0076688455487054314
NACCVNUM,0.007069881201877759
WEIGHT,0.006993116005835228
HEIGHT,0.0063864664433966045
RACE,0.00503528233478084
EDUC BMI,0.004888853147634143
AGE_AT_VISIT EDUC,0.004544763879306719
INBIRYR,0.004424069043930408
VISWCORR,0.0036680507176191112
HEARWAID,0.003141987956958973
AGE_AT_VISIT BMI,0.0027401794269153986
VISCORR,0.002646429456975638
PACKET_I,0.00222300907458125
INBIRMO,0.001853591110016944
BPSYS,0.0017997833863866637
HEARAID,0.001510739264946794
HRATE,0.001405341528841949
BIRTHMO,0.0011116660079662237
INSEX,0.0010528267573254183
VISITDAY,0.0008360448414654179
HEARING,0.0007690638652349914
VISITMO,0.0006871252129004216
HISPANIC,0.0006389853265920137
VISION,0.0005490009242263701
HIGH_BP,0.000376766030176276
HANDED,0.00024280546359995307
PACKET_IT,1.1931555366749418e-05
